Rank,Release Group,Worldwide,Domestic,%,Foreign,%
165,Shirley,"$158,954",-,-,"$158,954",100%
166,The Booksellers,"$157,383","$25,694",16.3%,"$131,689",83.7%
167,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
168,Billie,"$151,836",-,-,"$151,836",100%
169,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
170,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
171,Incitement,"$140,306","$140,306",100%,-,-
172,Most Wanted,"$138,000","$138,000",100%,-,-
173,Beneath Us,"$137,260","$137,260",100%,-,-
174,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
175,A Call to Spy,"$129,546","$123,739",95.5%,"$5,807",4.5%
176,Only,"$125,603",-,-,"$125,603",100%
177,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
178,Lucky Grandma,"$119,663","$102,000",85.2%,"$17,663",14.8%
179,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
180,Heaven,"$107,511","$107,511",100%,-,-
181,Miss Juneteenth,"$105,542","$92,349",87.5%,"$13,193",12.5%
182,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
183,First Cow,"$101,068","$101,068",100%,-,-
184,First Lady,"$93,298","$93,298",100%,-,-
185,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
186,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
187,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
188,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
189,How to Build a Girl,"$70,632","$70,632",100%,-,-
190,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
191,All My Life,"$65,852",-,-,"$65,852",100%
192,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
193,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
194,Pray: The Story of Patrick Peyton,"$58,370","$58,370",100%,-,-
195,A Simple Wedding,"$54,415","$54,415",100%,-,-
196,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
197,House of Cardin,"$50,659",-,-,"$50,659",100%
198,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
199,The Way I See It,"$49,030","$49,030",100%,-,-
200,VHYes,"$47,037","$47,037",100%,-,-
201,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
202,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
203,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
204,Three Christs,"$36,723","$36,723",100%,-,-
205,Tread,"$36,527","$36,527",100%,-,-
206,Waiting for Anya,"$36,404",-,-,"$36,404",100%
207,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
208,Rent-A-Pal,"$30,901","$30,901",100%,-,-
209,After Parkland,"$30,444","$30,444",100%,-,-
210,Olympic Dreams,"$29,450","$29,450",100%,-,-
211,Buffaloed,"$29,118","$29,118",100%,-,-
212,Abe,"$28,657",-,-,"$28,657",100%
213,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
214,Jos,"$26,563","$26,563",100%,-,-
215,Unsubscribe,"$25,488","$25,488",100%,-,-
216,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
217,Stage Mother,"$24,736",-,-,"$24,736",100%
218,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
219,Heart of Africa,"$24,139","$24,139",100%,-,-
220,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
221,Premature,"$23,071","$23,071",100%,-,-
222,L'Innocente,"$22,549","$22,549",100%,-,-
223,The Pale Door,"$22,048",-,-,"$22,048",100%
224,Lore,"$20,006","$20,006",100%,-,-
225,Foster Boy,"$19,873","$19,873",100%,-,-
226,Tar,"$19,151","$19,151",100%,-,-
227,Made in Hong Kong,"$17,843","$17,843",100%,-,-
228,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
229,Shithouse,"$17,285","$17,285",100%,-,-
230,Advocate,"$16,942","$16,942",100%,-,-
231,Centigrade,"$16,263","$16,263",100%,-,-
232,Straight Up,"$16,080","$16,080",100%,-,-
233,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
234,She Is the Ocean,"$15,415","$15,415",100%,-,-
235,American Deep State,"$15,269","$15,269",100%,-,-
236,"I Was at Home, But...","$14,078","$14,078",100%,-,-
237,Counter Column,"$13,579","$13,579",100%,-,-
238,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
239,The Grizzlies,"$11,650","$11,650",100%,-,-
240,Powerbomb,"$11,319","$11,319",100%,-,-
241,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
242,Lost in America,"$11,301","$11,301",100%,-,-
243,You Go to My Head,"$10,682","$10,682",100%,-,-
244,I Am Woman,"$10,122",-,-,"$10,122",100%
245,Guest Artist,"$10,017","$10,017",100%,-,-
246,Foosballers,"$9,966","$9,966",100%,-,-
247,Just One More Kiss,"$9,130","$9,130",100%,-,-
248,LX 2048,"$8,393",-,-,"$8,393",100%
249,Inside the Rain,"$8,140","$8,140",100%,-,-
250,The Wave,"$8,101","$8,101",100%,-,-
251,I AM PATRICK,"$7,880",-,-,"$7,880",100%
252,Valley Girl,"$7,671",-,-,"$7,671",100%
253,Dreaming Grand Avenue,"$7,395","$7,395",100%,-,-
254,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
